sample_id,status,history,original_query,rewritten_query,groundtruth,Latency,RougeL,Bleu,LLMJ
s_0,KEPT_ORIGINAL,"What is a physician's assistant? | physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients | What are the educational requirements required to become a physician's assistant? | Complete your bachelor's degree (a science or healthcare related major is usually best); Gain experience either working or volunteering in a healthcare setting; Apply to ARC-PA accredited physician assistant programs; Complete a 2-3 year, master's level PA program; | What does it cost to become a physician's assistant? | Average Cost Across all PA Schools for the 2017 Application Cycle is as Follows: Average cost of resident tuition for a 27-month physician assistant program is: $71,369. Average cost of non-resident tuition for a 27-month physician assistant program is: $89,975. | What's the average starting salary for a physician's assistant in the UK? | Typical starting salaries for physician associates are between £27,000 and £31,383 (though sometimes less for internships). | What's the average starting salary for a physician's assistant in the US? | An early career Physician Assistant (PA) with 1-4 years of experience earns an average total compensation (includes tips, bonus, and overtime pay) of $91,587 based on 4,392 salaries.",What school subjects are needed to become a registered nurse?,What school subjects are needed to become a registered nurse?,What school subjects are needed to become a registered nurse?,97.9059,1.0000,1.0000,0.00
s_1,REWRITTEN,"What is a physician's assistant? | physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients | What are the educational requirements required to become a physician's assistant? | Complete your bachelor's degree (a science or healthcare related major is usually best); Gain experience either working or volunteering in a healthcare setting; Apply to ARC-PA accredited physician assistant programs; Complete a 2-3 year, master's level PA program; | What does it cost to become a physician's assistant? | Average Cost Across all PA Schools for the 2017 Application Cycle is as Follows: Average cost of resident tuition for a 27-month physician assistant program is: $71,369. Average cost of non-resident tuition for a 27-month physician assistant program is: $89,975. | What's the average starting salary for a physician's assistant in the UK? | Typical starting salaries for physician associates are between £27,000 and £31,383 (though sometimes less for internships). | What's the average starting salary for a physician's assistant in the US? | An early career Physician Assistant (PA) with 1-4 years of experience earns an average total compensation (includes tips, bonus, and overtime pay) of $91,587 based on 4,392 salaries. | What school subjects are needed to become a registered nurse? | Courses that nursing students may be required to take include anatomy, physiology, microbiology, chemistry, nutrition, and psychology. Nursing students may also be required to take courses in liberal arts subjects. | What is the physician's assistant average salary vs a registered nurse? | Although many factors go into salaries, such as experience, specialty and geographic areas, PA's usually come out on top. According to the United States Bureau of Labor Statistics, the average salary for PA's in 2013 was about $90,000 a year. Nurses on the other hand made about $66,000 a year according to the BLS. | What the difference between a physician assistant and a nurse practitioner? | . Nurses follow a patient-centered model, in which they focus on disease prevention and health education and handle assessment, diagnosis and treatment. Physician assistants follow a disease-centered model, in which they focus on the biologic and pathologic components of health, and also practice assessment, diagnosis, and treatment. | Do nurse practitioners or physician assistants make more? | According to the Bureau of Labor and Statistics (BLS), the 2017 median pay for Nurse Practitioners is $110,930 per year, or $53.33 per hour. In comparison, 2017 median pay for Physician Assistants is $104,860 per year, or $50.41 per hour.",Is a PA above a NP?,Is a physician assistant considered higher in rank than a nurse practitioner?,Is a physician assistants above a nurse practitioner?,103.8373,0.6000,0.2797,0.90
s_2,KEPT_ORIGINAL,What are the main breeds of goat? | Abaza...Zhongwei,Tell me about boer goats.,Tell me about Boer goats.,Tell me about boer goats,60.2660,1.0000,0.0000,1.00
s_3,REWRITTEN,"What are the main breeds of goat? | Abaza...Zhongwei | Tell me about boer goats | The Boer goat is a breed of goat that was developed in South Africa in the early 1900s for meat production. Their name is derived from the Afrikaans (Dutch) word boer, meaning farmer. | What breed of goats is good for meat | Before Boer goats became available in the United States in the late 1980s, Spanish goats were the standard meat goat breed, especially in the South. These goats are descendants of the goats brought by Spanish explorers, making their way to the United States via Mexico. | Are angora goats good for meat? | Surplus or cull Angora and cashmere goats are also used for meat, although a good fiber-producing goat is generally a poor meat goat and vice versa.",What about boer goats?,Are Boer goats good for meat?,Are boer goats good for meat?,67.6977,1.0000,0.6435,1.00
s_4,REWRITTEN,"Tell me about the types of irregular heart beat. | Atrial fibrillation is a very common irregular heart rhythm that causes the atria, the upper chambers of the heart, to contract abnormally. Atrial flutter. This is an arrhythmia caused by one or more rapid circuits in the atrium. | How serious is an irregular heart beat? | Coronary artery disease can cause dangerous arrhythmias like atrial fibrillation, or AFib. It's a rapid, quivering heartbeat that can lead to heart palpitations, blood clots, heart attack and stroke. | What are the different types of tachycardia? | Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation. | What is atrial flutter? | Atrial flutter (AFL) is a type of abnormal heart rate, or arrhythmia. It occurs when the upper chambers of your heart beat too fast.",What causes it?,What causes atrial flutter?,What causes irregular heartbeat?,53.1153,0.5000,0.0000,0.50
s_5,REWRITTEN,"Tell me about the types of irregular heart beat. | Atrial fibrillation is a very common irregular heart rhythm that causes the atria, the upper chambers of the heart, to contract abnormally. Atrial flutter. This is an arrhythmia caused by one or more rapid circuits in the atrium. | How serious is an irregular heart beat? | Coronary artery disease can cause dangerous arrhythmias like atrial fibrillation, or AFib. It's a rapid, quivering heartbeat that can lead to heart palpitations, blood clots, heart attack and stroke. | What are the different types of tachycardia? | Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation. | What is atrial flutter? | Atrial flutter (AFL) is a type of abnormal heart rate, or arrhythmia. It occurs when the upper chambers of your heart beat too fast. | What causes irregular heartbeat? | They can be related to stress or too much caffeine or nicotine. But sometimes, PVCs can be caused by heart disease or electrolyte imbalance. | What's the difference between flutter and fibrillation? | In atrial fibrillation, the atria beat irregularly. In atrial flutter, the atria beat regularly, but faster than usual and more often than the ventricles, so you may have four atrial beats to every one ventricular beat. | How does atrial fibrillation affect electrocardiography? | The symptoms of atrial fibrillation are related to the loss of atrial mechanical activity (atrial contraction) and rapid ventricular heart rates, both of which can reduce cardiac output and lead to congestive heart failure.",Does it shorten your life?,Does atrial fibrillation shorten your life?,Does atrial flutter shorten your life?,74.8910,0.8333,0.4889,0.00
s_6,REWRITTEN,"What are the main breeds of goat? | Abaza...Zhongwei | Tell me about boer goats | The Boer goat is a breed of goat that was developed in South Africa in the early 1900s for meat production. Their name is derived from the Afrikaans (Dutch) word boer, meaning farmer. | What breed of goats is good for meat | Before Boer goats became available in the United States in the late 1980s, Spanish goats were the standard meat goat breed, especially in the South. These goats are descendants of the goats brought by Spanish explorers, making their way to the United States via Mexico. | Are angora goats good for meat? | Surplus or cull Angora and cashmere goats are also used for meat, although a good fiber-producing goat is generally a poor meat goat and vice versa. | Are boer goats good for meat? | Boer goats were bred in South Africa for meat and selected for their superior body shape, high growth rate, and fertility. | What are pygmy goats used for? | While Pygmy goats are most commonly kept as pets or used as meat goats, they can also be used for milk production. Pygmy goats can produce, on average, between one to two quarts of 4.5% to 11% butterfat milk. | What is the best goat for fiber production? | Mohair goats are the most productive fiber producing animals. | How long do Angora goats live? | In our flock, it is not uncommon for our girls to go 9-11 years- undoubtedly we could push them longer, but they do not stay unless they can put kids on the ground. | Can you milk Angora goats? | Angora mothers have been known to not produce enough milk if they give birth to more than 1. | How many goats can you have per acre? | Poor ground may support 2-4 goats per acre while better pasture may be able to support 6-8 goats per acre.",Are they profitable?,Are Boer goats profitable?,Are goats profitable?,53.2742,0.8571,0.0000,0.80
s_7,REWRITTEN,"Tell me about the types of irregular heart beat. | Atrial fibrillation is a very common irregular heart rhythm that causes the atria, the upper chambers of the heart, to contract abnormally. Atrial flutter. This is an arrhythmia caused by one or more rapid circuits in the atrium. | How serious is an irregular heart beat? | Coronary artery disease can cause dangerous arrhythmias like atrial fibrillation, or AFib. It's a rapid, quivering heartbeat that can lead to heart palpitations, blood clots, heart attack and stroke. | What are the different types of tachycardia? | Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation. | What is atrial flutter? | Atrial flutter (AFL) is a type of abnormal heart rate, or arrhythmia. It occurs when the upper chambers of your heart beat too fast.",What causes it?,What causes atrial flutter?,What causes irregular heartbeat?,53.1231,0.5000,0.0000,0.50
s_8,REWRITTEN,"Tell me about the types of irregular heart beat. | Atrial fibrillation is a very common irregular heart rhythm that causes the atria, the upper chambers of the heart, to contract abnormally. Atrial flutter. This is an arrhythmia caused by one or more rapid circuits in the atrium. | How serious is an irregular heart beat? | Coronary artery disease can cause dangerous arrhythmias like atrial fibrillation, or AFib. It's a rapid, quivering heartbeat that can lead to heart palpitations, blood clots, heart attack and stroke. | What are the different types of tachycardia? | Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation. | What is atrial flutter? | Atrial flutter (AFL) is a type of abnormal heart rate, or arrhythmia. It occurs when the upper chambers of your heart beat too fast. | What causes irregular heartbeat? | They can be related to stress or too much caffeine or nicotine. But sometimes, PVCs can be caused by heart disease or electrolyte imbalance. | What's the difference between flutter and fibrillation? | In atrial fibrillation, the atria beat irregularly. In atrial flutter, the atria beat regularly, but faster than usual and more often than the ventricles, so you may have four atrial beats to every one ventricular beat. | How does atrial fibrillation affect electrocardiography? | The symptoms of atrial fibrillation are related to the loss of atrial mechanical activity (atrial contraction) and rapid ventricular heart rates, both of which can reduce cardiac output and lead to congestive heart failure.",Does it shorten your life?,Does atrial fibrillation shorten your life?,Does atrial flutter shorten your life?,74.9468,0.8333,0.4889,0.00
s_9,REWRITTEN,"What was the neolithic revolution? | The Neolithic Revolution, also called the Agricultural Revolution, marked the transition in human history from small, nomadic bands of hunter-gatherers to larger, agricultural settlements and early civilization. | When did the Neolithic revolution start and end? | The Neolithic Revolution—also referred to as the Agricultural Revolution—is thought to have begun about 12,000 years ago. | Why did the Neolithic revolution start? | The Neolithic Era began when some groups of humans gave up the nomadic, hunter-gatherer lifestyle completely to begin farming. | What did the neolithic invent? | Farming started a revolution in the world and helped set us on a path that would eventually lead to the technological revolution and invention of different things. Inventions such as the plow helped in the planting of seeds. | What tools were used in the neolithic event? | Scrapers. Scrapers are one of the original stone tools, found everywhere where people settled, long before the Neolithic Age began. ...Blades. ...Arrows and Spearheads. ...Axes. ...Adzes. ...Hammers and Chisels. | When was the neolithic event brought to the British isles? | This change happened at various times in several different places around the world. The concept of farming that reached Britain between about 5000 BC and 4500 BC had spread across Europe from origins in Syria and Iraq between about 11000 BC and 9000 BC. | Describe the period that follows the neolithic event? | Towards the end of the Neolithic era, copper metallurgy is introduced, which marks a transition period to the Bronze Age, sometimes referred to as the Chalcolithic or Eneolithic Era.",What was its significance?,What was the significance of the Neolithic Revolution?,What was the significance of the neolithic event?,82.1107,0.8750,0.6105,1.00
